RXCUI1,RXAUI1,STYPE1,REL,RXCUI2,RXAUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
12984983,AUI,RO,,3627779,AUI,inactive_ingredient_of,164818374,,MTHSPL,,,,,4096,
12984983,AUI,RO,,3633133,AUI,inactive_ingredient_of,164818388,,MTHSPL,,,,,4096,
12984983,AUI,RO,,4238781,AUI,inactive_ingredient_of,164818793,,MTHSPL,,,,,4096,
12984983,AUI,RO,,4239181,AUI,inactive_ingredient_of,164818728,,MTHSPL,,,,,4096,
12984983,AUI,RO,,4239432,AUI,inactive_ingredient_of,164818560,,MTHSPL,,,,,4096,
12984983,AUI,RO,,5038351,AUI,inactive_ingredient_of,164818867,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12748769,AUI,active_ingredient_of,164818111,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12748770,AUI,active_moiety_of,164821164,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12797716,AUI,inactive_ingredient_of,164818641,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12797717,AUI,inactive_ingredient_of,164819072,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12819654,AUI,active_ingredient_of,164818112,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12819658,AUI,active_moiety_of,164821076,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12955925,AUI,active_ingredient_of,164818140,,MTHSPL,,,,,4096,
12984983,AUI,RO,,12955926,AUI,active_moiety_of,164821052,,MTHSPL,,,,,4096,
12984984,AUI,RO,,2978605,AUI,inactive_ingredient_of,164819373,,MTHSPL,,,,,4096,
12984984,AUI,RO,,2978624,AUI,inactive_ingredient_of,164819567,,MTHSPL,,,,,4096,
12984984,AUI,RO,,2981242,AUI,inactive_ingredient_of,164818645,,MTHSPL,,,,,4096,
12984984,AUI,RO,,2994597,AUI,inactive_ingredient_of,164818509,,MTHSPL,,,,,4096,
12984984,AUI,RO,,3621376,AUI,inactive_ingredient_of,164819667,,MTHSPL,,,,,4096,
12984984,AUI,RO,,4236496,AUI,inactive_ingredient_of,164818403,,MTHSPL,,,,,4096,
